2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=4200.0, realizedPL=0.0]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-4351.0, realizedPL=150.9999999999998]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=4398.0, realizedPL=103.99999999999991]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-4246.0, realizedPL=-47.99999999999969]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=4306.0, realizedPL=-107.99999999999983]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-4152.0, realizedPL=-261.9999999999998]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=4256.0, realizedPL=-365.99999999999966]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-4205.0, realizedPL=-417.00000000000017]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=4228.0, realizedPL=-440.00000000000057]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-4034.0000000000005, realizedPL=-634.0000000000003]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=4094.0, realizedPL=-693.9999999999998]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-3925.0, realizedPL=-862.9999999999995]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=3653.0, realizedPL=-590.9999999999997]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=-100, cost=-3720.0000000000005, realizedPL=-523.9999999999995]
2017-10-02 15:26:55,Position [strategy=Strategy [name=BollingerBand], security=Security [symbol=EUR, currency=USD], quantity=100, cost=3856.0, realizedPL=-659.9999999999995]
